"ExpNum","TreatTemp","ActivityCS"
1,18,0.984570169
1,18,0.962527553
1,24,0.382072006
1,24,0.418809699
1,24,0.573108009
1,24,0.595150625
1,24,0.613519471
1,24,0.646583395
1,24,0.382072006
1,24,0.418809699
1,24,0.444526084
1,24,0.426157237
1,24,0.385745775
1,24,0.404114622
1,30,0.418809699
1,30,0.448199853
1,30,0.481263777
1,30,0.433504776
1,30,0.389419544
1,30,0.41146216
1,30,0.536370316
1,30,0.536370316
1,30,0.448199853
1,30,0.46289493
1,30,0.786186627
1,30,0.77149155
1,32,0.558412932
1,32,0.558412932
1,32,0.488611315
1,32,0.477590007
1,32,0.56576047
1,32,0.609845702
1,32,0.543717855
1,32,0.595150625
1,32,0.808229243
1,32,0.800881705
1,18,0.77149155
1,18,0.77149155
1,32,0.62086701
1,32,0
1,18,0.61719324
1,18,0.639235856
1,18,0.503306392
1,18,0.529022777
1,18,0.613519471
1,18,0.646583395
1,18,0.598824394
1,18,0.61719324
2,18,0.635562087
2,18,0.646583395
2,18,0.675973549
2,18,0.661278472
2,18,0.580455547
2,18,0.602498163
2,18,1.109478325
2,18,0.749448935
2,18,0.540044085
2,18,0.602498163
2,18,0.253490081
2,18,0.25716385
2,24,0.146950771
2,24,0.191036003
2,24,0
2,24,0
2,24,0.20573108
2,24,0.220426157
2,24,0.440852314
2,24,0.5143277
2,24,0
2,24,0
2,24,0.5143277
2,24,0.506980162
2,24,0.470242469
2,24,0.551065393
2,24,0.367376929
2,24,0.477590007
2,30,0.315944159
2,30,0.315944159
2,30,0.363703159
2,30,0.396767083
2,30,0.532696547
2,30,0.551065393
2,30,0.36002939
2,30,0.374724467
2,30,0.367376929
2,30,0.418809699
2,30,0.220426157
2,30,0.242468773
2,32,0.903747245
2,32,0.867009552
2,32,1.116825863
2,32,1.168258633
2,32,0
2,32,0
2,32,1.18662748
2,32,1.146216018
2,32,0.731080088
2,32,0.712711242
2,32,0.595150625
2,32,0.595150625
2,32,0.576781778
2,32,0.595150625
3,24,0.72005878
3,24,0.734753857
3,30,0.356355621
3,30,0.337986774
3,30,0.279206466
3,30,0.374724467
3,30,0.323291697
3,30,0.352681852
3,30,0.36002939
3,30,0.492285084
3,30,0
3,30,0
3,30,0.540044085
3,30,0.543717855
3,30,0
3,30,0
3,30,0.41146216
3,30,0.389419544
3,30,0
3,30,0
3,32,0.606171932
3,32,0.646583395
3,32,0.536370316
3,32,0.529022777
3,32,0.705363703
3,32,0.698016165
3,32,0.46289493
3,32,0.477590007
3,32,0.51800147
3,32,0.5143277
3,32,0.41146216
3,32,0.440852314
3,18,0.591476855
3,18,0.587803086
3,18,0.848640705
3,18,0.87435709
3,18,0.587803086
3,18,0.587803086
3,18,0.650257164
3,18,0.727406319
3,18,0.995591477
3,18,0.940484938
3,18,0.551065393
3,18,0.558412932
3,24,0.429831007
3,24,0.418809699
3,24,0.477590007
3,24,0.470242469
3,24,0.304922851
3,24,0.323291697
3,24,0.576781778
3,24,0.653930933
3,24,0.378398237
3,24,0.374724467
4,18,0.782512858
4,18,0.815576782
4,18,0.804555474
4,18,0.815576782
4,18,0.510653931
4,18,0.448199853
4,18,0.587803086
4,18,0.536370316
4,18,0.374724467
4,18,0.345334313
4,18,0.72005878
4,18,0.749448935
4,24,0.326965467
4,24,0.352681852
4,24,0.473916238
4,24,0.484937546
4,24,0.473916238
4,24,0.470242469
4,24,1.069066863
4,24,0.947832476
4,24,0
4,24,0
4,24,0.396767083
4,24,0.396767083
4,24,0
4,24,0
4,24,0.694342395
4,24,0
4,24,0
4,24,0
4,30,0.749448935
4,30,0.72005878
4,30,0.440852314
4,30,0.448199853
4,30,0.742101396
4,30,0.749448935
4,30,0.5143277
4,30,0.521675239
4,30,0.437178545
4,30,0.418809699
4,30,0.9808964
4,30,0.955180015
4,32,0.477590007
4,32,0.484937546
4,32,0.455547392
4,32,0.440852314
4,32,0.382072006
4,32,0.389419544
4,32,0.5143277
4,32,0.56576047
4,32,0.536370316
4,32,0.558412932
4,32,0.650257164
4,32,0.661278472
